,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Item,KH_a,KH_b,KH_86,KH_87,KH_88
358,02070200101,2,7,2,1,1,1,1,19,1,1.0,,,1.0
359,02070200101,2,7,2,1,1,1,1,20,2,,1.0,2.0,
360,02070300104,2,7,3,1,4,1,1,1,1,19.0,,,
361,02070300104,2,7,3,1,4,1,1,2,1,3.0,,,
362,02070300104,2,7,3,1,4,1,1,3,1,8.0,,,
363,02070300104,2,7,3,1,4,1,1,4,1,1.0,,,
364,02070300104,2,7,3,1,4,1,1,5,1,9.0,,,
365,02070300104,2,7,3,1,4,1,1,6,1,6.0,,,
366,02070300104,2,7,3,1,4,1,1,7,1,3.0,,,
367,02070300104,2,7,3,1,4,1,1,8,2,,2.0,2.0,
368,02070300104,2,7,3,1,4,1,1,9,1,9.0,,,
369,02070300104,2,7,3,1,4,1,1,10,1,1.0,,,
370,02070300104,2,7,3,1,4,1,1,11,1,3.0,,,1.0
371,02070300104,2,7,3,1,4,1,1,12,1,2.0,,,1.0
372,02070300104,2,7,3,1,4,1,1,13,1,3.0,,,1.0
373,02070300104,2,7,3,1,4,1,1,14,2,,1.0,1.0,
374,02070300104,2,7,3,1,4,1,1,15,1,4.0,,,1.0
375,02070300104,2,7,3,1,4,1,1,16,1,1.0,,,1.0
376,02070300104,2,7,3,1,4,1,1,17,2,,1.0,2.0,
377,02070300104,2,7,3,1,4,1,1,18,2,,1.0,2.0,
378,02070300104,2,7,3,1,4,1,1,19,1,2.0,,,1.0
379,02070300104,2,7,3,1,4,1,1,20,2,,1.0,2.0,
380,02070501103,2,7,5,11,3,2,3,1,1,2.0,,,
381,02070501103,2,7,5,11,3,2,3,2,2,,2.0,1.0,
382,02070501103,2,7,5,11,3,2,3,3,1,2.0,,,
383,02070501103,2,7,5,11,3,2,3,4,2,,2.0,1.0,
384,02070501103,2,7,5,11,3,2,3,5,2,,2.0,1.0,
385,02070501103,2,7,5,11,3,2,3,6,1,2.0,,,
386,02070501103,2,7,5,11,3,2,3,7,2,,2.0,1.0,
387,02070501103,2,7,5,11,3,2,3,8,2,,2.0,1.0,
388,02070501103,2,7,5,11,3,2,3,9,1,2.0,,,
389,02070501103,2,7,5,11,3,2,3,10,2,,2.0,1.0,
390,02070501103,2,7,5,11,3,2,3,11,2,,2.0,1.0,
391,02070501103,2,7,5,11,3,2,3,12,2,,2.0,1.0,
392,02070501103,2,7,5,11,3,2,3,13,1,1.0,,,1.0
393,02070501103,2,7,5,11,3,2,3,14,2,,2.0,1.0,
394,02070501103,2,7,5,11,3,2,3,15,1,2.0,,,1.0
395,02070501103,2,7,5,11,3,2,3,16,2,,2.0,1.0,
